Depth (m),Por (%),Perm (mD)
0.25,9.974432659,95.5651477
0.5,14.35712812,224.8361844
0.75,14.96186619,205.7910511
1,12.71636729,216.2829378
1.25,14.05919176,243.072993
1.5,12.28159916,194.8543035
1.75,15.01716701,198.0530093
2,10.88281904,98.55319105
2.25,15.92335258,197.8596346
2.5,14.8538963,164.200887
2.75,14.37299538,228.0757976
3,13.24380547,146.1387188
3.25,13.11017641,173.0060366
3.5,12.64972713,153.6661652
3.75,10.93743784,147.0197175
4,14.33196699,151.8698701
4.25,13.49788519,202.6740721
4.5,16.78782935,184.4341844
4.75,10.32976021,167.8238142
5,14.63840907,199.7771581
5.25,11.18804975,192.8051405
5.5,11.75610422,84.87221767
5.75,14.72616529,125.2950312
6,8.627557666,99.10841902
6.25,14.32885555,171.388529
6.5,9.040097605,151.7569108
6.75,1.683840754,38.4042377
7,11.69140205,210.8502392
7.25,11.66394846,244.1462564
7.5,7.383079674,88.13784605
7.75,11.9310949,102.1352811
8,12.33073909,165.4186514
8.25,14.27815617,141.5269728
8.5,12.8689804,124.5485035
8.75,15.56261919,309.2201157
9,13.42712449,170.6911829
9.25,12.70894998,183.3995917
9.5,12.55396554,162.9844774
9.75,12.76327317,151.3203727
10,11.95458423,151.6524716
10.25,11.10535515,73.91373062
10.5,11.86262341,112.1356047
10.75,14.21957702,308.439122
11,15.61471688,336.9190062
11.25,16.41371973,173.4208496
11.5,12.35374349,184.4458359
11.75,12.18997614,142.2687857
12,9.414039423,127.9722286
12.25,16.56426904,181.4851358
12.5,12.28057554,216.5199501
12.75,18.36106414,339.5893432
13,5.793477408,103.4213676
13.25,12.55173556,93.46681183
13.5,12.50172401,149.0198601
13.75,14.85884948,257.2756559
14,11.19658551,211.6902253
14.25,18.49724981,560.4204438
14.5,14.24848015,212.1564084
14.75,9.55524455,179.2179517
15,11.55319412,131.9609541
15.25,14.37015211,180.8697769
15.5,9.404479148,105.2299684
15.75,11.06333686,191.7703703
16,18.43490143,237.9639025
16.25,18.72830376,245.9274559
16.5,14.39897518,263.9017697
16.75,11.05097329,108.1978524
17,6.394509176,77.51492572
17.25,13.10992191,181.339954
17.5,21.93630436,404.8275143
17.75,12.49904629,157.9963262
18,10.94775595,182.6174701
18.25,11.62436883,124.6027972
18.5,10.10805331,112.6697688
18.75,7.923815151,79.69926756
19,14.31245746,124.5553285
19.25,16.22328428,267.2524704
19.5,8.203430409,134.4126902
19.75,6.064195075,58.5696594
20,5.117369315,59.60881058
20.25,9.574003636,71.83779484
20.5,9.214900559,264.3613233
20.75,10.96433108,132.0442002
21,12.7718774,227.6810823
21.25,12.89080871,136.9307365
21.5,17.28538666,239.3191139
21.75,12.18744952,98.97061039
22,8.704109145,114.4273443
22.25,15.27921957,496.4369713
22.5,8.64154521,76.34460806
22.75,8.07135271,131.6649821
23,15.34757593,208.4716162
23.25,8.014223593,143.7938238
23.5,12.16768109,174.406497
23.75,11.32249273,192.4009634
24,12.96822201,151.2338686
24.25,10.22602768,84.37318516
24.5,9.321376937,73.73787209
24.75,9.585467733,141.3471968
25,12.82140806,288.0849786
25.25,11.8911451,108.8110353
25.5,10.70348373,171.3851462
25.75,12.9980398,138.0831386
26,10.9043677,200.0477352
