Depth,Porosity,Perm
0.25,12.99363384,265.5287384
0.5,13.58801077,116.8912203
0.75,8.962625378,136.9200163
1,17.63487852,216.668629
1.25,9.424403505,131.5941136
1.5,4.107222384,59.10135782
1.75,11.41731841,79.40469987
2,11.72502483,146.0378607
2.25,16.63532089,142.6730925
2.5,6.194650725,84.87475223
2.75,11.72958366,135.7836855
3,13.16787102,144.3866703
3.25,10.17080521,182.6092908
3.5,9.585109583,170.4935402
3.75,7.980931923,83.26190893
4,13.64607168,224.3707533
4.25,12.58548133,150.9542763
4.5,13.84200178,176.4314529
4.75,11.26608131,125.9084584
5,15.77946572,227.4123764
5.25,7.136920943,92.67804938
5.5,9.199358332,83.89427993
5.75,15.91117106,156.0833951
6,11.78190703,187.9048635
6.25,6.822578724,129.053599
6.5,8.622706216,171.3792516
6.75,12.37537153,128.8831899
7,7.145890663,102.711833
7.25,9.016184722,77.53559944
7.5,10.06990563,117.6273953
7.75,9.182931939,58.81137171
8,11.42431945,65.55086159
8.25,8.147399204,77.75825982
8.5,8.060306172,138.8166612
8.75,10.65702838,116.5849524
9,18.46082189,213.7443506
9.25,9.066832495,54.31821533
9.5,14.81029641,190.9187818
9.75,8.901621153,60.99273794
10,10.53169412,205.0919842
10.25,9.096386215,132.0952938
10.5,9.026787622,66.92125215
10.75,5.295602615,56.32805812
11,9.967299574,108.5960189
11.25,14.12910537,285.3406505
11.5,7.563809585,106.3539855
11.75,10.42429679,133.1571608
12,13.69910632,179.7310318
12.25,11.87766704,206.7147521
12.5,11.78144913,141.8153262
12.75,14.07432517,131.9918731
13,9.007157913,197.7733636
13.25,10.10608579,183.0627841
13.5,15.37181089,166.8875824
13.75,9.531453759,134.7390753
14,4.404816788,53.40482912
14.25,11.86535511,138.7956532
14.5,13.28633144,92.06674678
14.75,7.212025348,85.02517654
15,16.04126554,168.4215089
15.25,8.356492507,132.7074899
15.5,12.47983917,160.5237899
15.75,5.776503052,86.7892712
16,14.01213113,264.1949018
16.25,15.08029523,257.4477374
16.5,17.50028742,286.7648238
16.75,10.02668983,80.446873
17,9.536075098,89.63728313
17.25,8.905247405,144.7179822
17.5,13.27476244,214.0875635
17.75,9.051062251,143.661426
18,13.40948601,126.2631
18.25,8.89933188,244.0580763
18.5,13.35145044,258.5502715
18.75,17.04113874,210.7513283
19,9.92497277,103.4959288
19.25,14.1133371,162.8947047
19.5,16.95099936,206.5590422
19.75,17.20114743,573.4618835
20,11.3568498,161.0433837
20.25,15.78987625,279.8390004
20.5,12.07281796,112.2730234
20.75,14.41113683,123.3264633
21,16.89373032,321.0622178
21.25,14.98538378,234.478361
21.5,10.6585621,97.69179652
21.75,12.55158849,184.7965421
22,10.91080646,84.65752492
22.25,9.468459785,151.5493973
22.5,12.65431402,103.9786105
22.75,7.964977533,43.53414729
23,17.18529333,380.0888172
23.25,13.07229947,240.5602583
23.5,19.4341586,258.3948323
23.75,11.76804539,145.5869713
24,10.27012763,61.91630309
24.25,11.12139477,214.9201233
24.5,10.997725,305.1321744
24.75,15.69048784,245.6734946
25,15.4364361,193.0502928
25.25,17.76790105,311.6374506
25.5,7.879788002,144.3298369
25.75,16.20781811,162.3457205
26,9.217045817,263.4960226
26.25,11.86921716,132.6972037
