Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg/s-m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa"
Well_no_1,7325,7175,3052.8,0.1333,,6981171.853,Sandstone,2.280137142,3106.544655,24.72155503,1690.417133,7.304717426
Well_no_1,7325,7175,3053.3,0.13865,,7234748.871,Sandstone,2.135060843,4003.697087,23.36072766,1573.847967,5.202120176
Well_no_1,7325,7175,3053.8,0.14638,,7157383.755,Sandstone,1.991044689,3462.56903,28.23215158,1636.279139,
Well_no_1,7325,7175,3054.3,,,,Sandstone,1.694241985,3836.960702,29.22013209,1613.043048,5.074763113
Well_no_1,7325,7175,3054.8,0.14993,,,Sandstone,1.664371256,3919.585777,,1636.846284,5.277834172
Well_no_1,7325,7175,3055.3,0.1525,,6975785.194,Sandstone,2.165118813,2850.993945,22.57682138,1613.944353,
Well_no_1,7325,7175,3055.8,0.15501,,7202545.189,Sandstone,1.499129282,4523.6027,34.8012388,1786.934783,
Well_no_1,7325,7175,3056.3,0.15843,,7071741.046,Sandstone,2.279220836,2880.522451,22.60821672,1641.131286,7.470394438
Well_no_1,7325,7175,3056.8,0.16004,,6970094.358,Sandstone,2.188752836,3015.599314,23.17184134,1830.396873,5.303365904
Well_no_1,7325,7175,3057.3,0.07066,,7836617.444,Sandy shale,3.250633784,2192.474933,,1649.546273,8.764372445
Well_no_1,7325,7175,3057.8,0.07276,,7445642.705,Sandy shale,3.184170204,2350.321613,18.83760607,1610.467463,7.989805448
Well_no_1,7325,7175,3058.3,0.137,,7336188.98,Shaly sandstone,1.811730798,3767.966719,30.520179,1622.468444,6.334974438
Well_no_1,7325,7175,3058.8,0.13024,,7317351.86,Shaly sandstone,,3835.851165,,,6.642383744
Well_no_1,7325,7175,3059.3,0.1396,,7057105.769,Sandstone,2.117951715,2812.481667,,1853.856534,6.694957737
Well_no_1,7325,7175,3059.8,,,7167792.553,Sandstone,2.142143511,3099.416514,28.23910897,1581.985714,4.715880163
Well_no_1,7325,7175,3060.3,0.14681,189.116974,7112052.852,Sandstone,,,21.19648513,,6.321145741
Well_no_1,7325,7175,3060.8,0.14719,,,Sandstone,2.39221998,2832.507852,20.49510295,1514.691163,6.783677636
Well_no_1,7325,7175,3061.3,0.1469,,7341491.838,Sandstone,1.590040501,4905.749054,,1582.032837,5.499946973
Well_no_1,7325,7175,3061.8,0.15361,,6981515.306,Sandstone,1.607275108,4214.779801,33.34538687,1795.696558,5.056061534
Well_no_1,7325,7175,3062.3,0.06265,,7768757.242,Sandy shale,2.560526178,2853.426882,23.79681556,1589.617834,7.648818351
Well_no_2,4225,3525,3047.79,0.16515,193.2885088,6987280.06,Sandstone,2.013514148,3452.291109,24.83247409,1606.252615,4.197027186
Well_no_2,4225,3525,3048.29,0.16562,259.749618,6900103.869,Sandstone,1.678338725,,28.56813761,1661.290213,4.531664002
Well_no_2,4225,3525,3048.79,0.16688,,7114981.296,Sandstone,1.823422974,3489.971832,25.14215129,,6.153294147
Well_no_2,4225,3525,3049.29,0.16968,,6979479.356,Sandstone,1.767041163,4181.260033,23.72552685,1762.045732,3.516153711
Well_no_2,4225,3525,3049.79,0.16553,217.5977551,7178261.94,Sandstone,1.799881951,,27.86010965,1868.535033,4.015978288
Well_no_2,4225,3525,3050.29,0.05515,34.83382854,8011859.008,Sandy shale,3.120177511,2802.475955,23.56589038,1662.706812,10.49536718
Well_no_2,4225,3525,3050.79,0.12519,,7475518.85,Shaly sandstone,,3442.540527,25.79199755,,7.621862583
Well_no_2,4225,3525,3051.29,0.13232,,7355239.949,Shaly sandstone,1.796843182,4104.740315,,1595.100767,5.831524061
Well_no_2,4225,3525,3051.79,0.13983,,7285425.884,Shaly sandstone,2.317619904,2669.986483,24.34348933,1653.361325,7.011412366
Well_no_2,4225,3525,3052.29,0.13883,,7156247.18,Sandstone,2.325412841,3250.133418,22.20109332,1683.452773,7.243716842
Well_no_2,4225,3525,3052.79,0.14405,,7119358.985,Sandstone,2.091421302,3887.650561,25.58319849,1644.16133,6.577413082
Well_no_2,4225,3525,3053.29,0.15441,,,,2.015555984,3407.064079,22.6572701,1619.441825,6.719795263
Well_no_2,4225,3525,3053.79,0.06948,,7705429.781,Sandy shale,2.663888585,3226.550825,20.51004284,1685.112435,6.694376048
Well_no_2,4225,3525,3054.29,0.09209,,7551326.259,Shaly sandstone,1.656230025,4665.157364,36.27317386,1650.158993,4.971056849
Well_no_2,4225,3525,3054.79,0.06708,,7785667.639,Sandy shale,,2574.692689,23.03532471,1756.547212,9.211878146
Well_no_2,4225,3525,3055.29,0.06629,,7771041.288,Sandy shale,,,21.79912368,1462.392048,7.243642667
