Well,X,Y,Por,Perm,AI,Facies
456,130,819,11.19626894,514.719465,4190.166568,1
230,870,879,8.572832158,529.1082258,4370.858404,0
325,825,725,12.35988263,990.2193273,4389.819744,1
251,580,569,16.48026849,201.5050571,3608.928335,1
316,775,175,6.001332907,468.687842,5182.960213,0
249,625,525,12.78542169,953.591712,3765.267505,1
5,25,725,8.872585284,577.6756366,4368.152494,0
248,625,575,11.99741539,532.416948,3826.671391,1
72,260,729,6.270961565,346.458428,5511.446282,0
270,675,475,5.74119455,270.8000587,5171.25096,0
87,225,625,9.021971918,315.8203576,4097.981032,0
11,25,425,11.63817834,253.9186573,4028.263632,1
155,375,225,10.06975535,12.32933675,4207.596274,1
157,375,125,6.879645774,814.5639403,5170.518031,0
200,310,289,19.82647859,144.4816614,3685.892086,1
268,675,575,9.005534412,735.9476121,4107.438249,1
441,50,19,5.548458015,510.0857339,4988.10386,0
426,760,139,5.898601201,566.8136904,5257.113853,0
321,825,925,7.289830125,0,4241.66332,0
327,825,625,8.657016724,705.0280529,4519.862192,1
249,90,39,11.80219988,787.5598426,3759.159803,1
25,75,725,8.556648969,305.6454317,4508.035045,0
450,530,259,13.52305285,393.4797622,4046.934202,1
496,720,489,6.362384875,236.2841631,4753.322168,0
486,760,669,13.2644303,449.8606557,3960.092276,1
20,20,829,17.43812485,1032.233391,3771.97719,1
223,650,199,13.74984113,369.7932309,4227.956999,1
434,620,549,14.53337026,582.5171003,3809.760665,1
156,640,79,6.077951333,89.06872644,4619.854477,0
364,700,669,13.66421534,414.120296,3889.045954,1
175,425,225,11.17133044,652.0088623,4230.751429,1
82,220,409,14.69504119,276.3931008,4159.037822,1
91,540,559,12.71810473,405.1570758,3881.766682,1
204,525,775,11.72298106,0,4214.901905,1
219,580,89,7.236172056,130.2618776,4439.756699,0
62,190,499,5.175986375,0,4869.738809,0
3,25,825,17.43812485,695.5772165,3771.97719,1
24,75,775,15.05080848,970.390247,3728.698709,1
116,275,175,4.177950359,741.3437046,4994.996487,0
324,900,189,6.183835046,485.7689783,5656.546294,0
194,475,275,12.35372849,498.7823986,4118.022538,1
55,780,489,6.848859405,374.5676557,4134.26041,0
425,400,349,11.93291844,0,4003.998973,1
185,960,469,12.16212244,621.7701253,4050.38619,1
305,775,725,10.22828491,361.0872054,4357.581636,1
386,640,199,12.22235334,362.9210093,4551.491076,1
209,525,525,6.270446213,86.06148153,4676.549987,0
459,630,819,6.731903888,712.0947499,5341.776325,0
103,30,799,19.37875024,461.4605995,3591.911515,1
145,600,589,4.302823488,0,5678.122542,0
114,750,599,9.194869002,749.111669,4120.53772,1
359,620,19,4.337265548,486.1216654,5296.692517,0
218,525,75,13.48210762,488.1065742,4246.453207,1
23,75,825,13.07492112,1518.001627,4207.536774,1
350,875,475,16.5208635,336.3384926,4005.523457,1
69,70,19,4.916606295,12.65647068,5607.850019,0
369,925,525,9.890141575,258.7380471,4202.639574,1
292,210,639,8.870989632,415.8284974,4060.415346,0
57,125,125,5.371490624,210.3027512,4346.538791,1
0,25,975,18.38765582,892.8181184,3776.960574,1
27,40,79,15.16489769,0,3871.900871,1
29,740,479,6.917624467,160.696812,4645.056492,0
217,525,125,14.2286064,683.505725,4088.773338,1
123,760,729,12.35821175,41.38276131,4116.782599,1
185,475,725,10.93175416,325.4340286,4264.432648,1
294,770,249,5.366823933,93.8749303,5299.840729,0
196,180,869,12.35675624,660.3978201,4272.100314,1
354,875,275,13.66257622,264.0321812,3911.624996,1
330,280,749,13.13629692,321.795726,4083.36779,1
14,690,529,6.426411175,657.0676005,4569.023925,1
12,440,279,11.03290944,487.0340936,4043.085868,1
63,440,119,6.96040733,241.5336891,5079.461969,0
83,420,949,6.99534882,632.8899431,4788.368314,0
184,160,899,10.14936163,418.1343517,4344.296221,1
338,825,75,6.100457633,122.6194108,5212.692667,0
299,880,609,13.23779147,317.0043131,3796.085208,1
258,100,649,6.584886478,880.1733987,4356.648197,0
437,440,459,5.746995839,1105.838662,4543.30414,1
328,200,89,9.246634344,241.3297727,4290.400763,1
22,75,875,13.52391863,157.9804253,4133.448885,1
170,425,475,10.72550025,0,4271.50665,1
317,150,829,12.02021411,411.2395541,4059.777807,1
81,225,925,13.35134833,447.6271437,4060.251701,1
250,570,349,8.176441883,586.905718,4464.516791,1
452,580,549,4.725177241,276.5094506,5197.127711,0
152,20,59,15.20940028,768.2412685,4005.151634,1
34,740,629,12.03732899,571.1286361,4084.822687,1
41,390,459,6.008583146,453.0295212,4433.628955,1
317,775,125,5.978493689,405.5562308,5585.192114,0
300,775,975,4.464360554,152.4316328,5034.32183,0
84,225,775,11.06875088,547.3166879,4184.217395,1
45,125,725,5.829065895,204.4916873,5921.509968,0
128,790,899,6.896186784,560.3721266,5403.256684,0
68,175,575,5.308111902,587.1061273,4436.218705,0
203,890,19,4.618057826,539.1478582,5634.669079,0
52,450,519,9.910582548,113.7811709,3865.669378,1
229,575,525,5.709526855,362.1320392,5082.419597,0
344,875,775,8.217436567,0,4204.528148,0
499,400,49,6.940971046,576.5416893,4556.915188,0
105,410,479,10.12077353,477.076801,4145.598989,1
394,975,275,9.484620859,0,4345.946582,1
21,270,429,10.95316309,487.9305147,4283.32147,1
448,560,109,15.72784984,702.2882798,3842.755144,1
442,620,709,8.226116223,0,4391.342335,1
360,925,975,12.93214437,359.8158592,4354.765181,1
194,890,459,11.26546995,482.5331421,4202.499039,1
234,575,275,10.75455457,307.6818804,4240.437868,1
75,175,225,7.06882412,178.165542,4924.445291,0
248,520,919,7.627806194,431.9449736,4843.88662,0
288,770,939,5.986214114,733.7509274,4972.583932,0
392,975,375,11.59990521,526.058213,4301.807921,1
264,730,69,4.507209646,0,4969.88645,0
354,140,479,7.989720789,564.1766995,4375.005344,1
278,890,669,9.831990454,415.1669223,4488.949444,1
444,490,479,12.59082726,744.6862561,4207.251698,1
212,190,379,7.045137057,232.4778096,4547.91189,1
483,730,389,5.513769139,101.3668634,5112.614426,0
379,925,25,6.470012981,105.0156645,4812.657285,0
472,590,819,6.963705427,345.8845622,5073.449019,0
202,525,875,12.25320102,819.55105,3720.26136,1
117,275,125,6.188091827,656.1547935,5185.91218,0
17,25,125,11.07616207,596.4320871,3957.00955,1
361,460,299,10.58752827,114.7592025,3963.97707,1
165,425,725,14.11933622,643.793297,4013.438736,1
422,70,299,8.266562688,197.6010755,4020.013605,1
4,25,775,19.35603619,1088.350842,3589.368746,1
188,130,509,7.577260709,440.4818708,5071.276705,1
208,525,575,16.20585072,1386.744012,3790.928398,1
324,825,775,7.731977227,812.5558729,4930.171917,0
475,60,829,15.90406789,888.9743247,4189.084862,1
76,175,175,8.205207667,805.8082236,4628.195915,0
282,860,49,7.544663941,135.111789,5395.645898,0
348,875,575,9.158541919,355.7954782,4028.951873,1
190,475,475,10.1629578,343.5274654,4070.287722,1
137,325,125,6.452630152,93.8868449,5141.467087,0
23,100,599,5.341972205,712.9167727,5597.960846,0
414,620,969,15.67415815,445.2449372,3899.107653,1
31,610,179,9.609913856,345.2878106,4062.530127,1
342,875,875,8.572832158,343.4768724,4370.858404,0
331,825,425,6.313745209,358.7235891,4426.100709,0
77,175,125,8.657908075,662.592887,4538.09371,0
295,725,225,4.70779829,0,5618.282049,0
345,875,725,9.186540712,557.7383732,4399.67074,1
221,300,769,12.70507595,380.6701785,4034.248113,1
68,800,579,8.371384494,320.7666458,3861.936388,1
129,325,525,8.6009319,749.1763543,4654.779097,0
288,725,575,7.73012386,0,4096.012702,1
352,340,799,8.862755719,675.5603565,4797.842392,1
145,375,725,17.0162284,808.5867739,3853.340388,1
115,100,839,14.8496932,904.1714265,4056.751649,1
427,180,169,8.507503596,139.4051261,4401.192915,0
165,970,579,8.025630877,368.8485473,4138.793127,1
133,980,469,12.90570917,891.9341436,4226.358277,1
259,530,279,13.00824609,173.3762989,4092.295409,1
378,130,859,13.15067532,565.0818159,3941.943026,1
150,310,189,5.066758508,222.7397943,4684.90476,0
131,325,425,9.185939806,0,4258.624692,1
247,140,599,7.885522714,904.4413693,4559.138999,0
