Well,Por,Perm,AI,Brittle,TOC,VR,Prod
1,12.08,2.92,2.8,81.4,1.16,2.31,4165.196191
2,12.38,3.53,3.22,46.17,0.89,1.88,3561.146205
3,14.02,2.59,4.01,72.8,0.89,2.72,4284.348574
4,17.67,6.75,2.63,39.81,1.08,1.88,5098.680869
5,17.52,4.57,3.18,10.94,1.51,1.9,3406.132832
6,14.53,4.81,2.69,53.6,0.94,1.67,4395.763259
7,13.49,3.6,2.93,63.71,0.8,1.85,4104.400989
8,11.58,3.03,3.25,53,0.69,1.93,3496.742701
9,12.52,2.72,2.43,65.77,0.95,1.98,4025.851153
10,13.25,3.94,3.71,66.2,1.14,2.65,4285.026122
11,15.04,4.39,2.22,61.11,1.08,1.77,4691.546305
12,16.19,6.3,2.29,49.1,1.53,1.86,5128.20297
13,16.82,5.42,2.8,66.65,1.17,1.98,5113.940775
14,17.39,4.95,2.55,56.43,1.87,2.19,5546.431951
15,13.83,5.26,2.51,66.22,0.18,1.64,4323.568513
16,11.34,2.72,3.43,58.03,0.57,2.15,3539.984263
17,19.55,8.41,3.08,35.49,1.34,1.95,5425.900608
18,15.58,3.67,2.53,29.43,1.35,1.88,3796.037029
19,14.73,5,3.03,67.42,0.9,1.98,4534.585915
20,12.47,2.53,3.54,48.82,0.9,2.54,3803.411386
21,18.08,5.7,2.38,53.56,1.26,2.09,5778.851488
22,16.32,4.06,2.41,46.78,1.21,1.72,4771.307836
23,12.62,2.39,2.38,15.68,1,1.48,2486.075498
24,10.03,1.88,3.29,37.74,0.38,1.7,2515.440716
25,18.66,5.37,1.39,53.35,1.77,1.71,6046.257538
26,7.27,2.01,3.41,54.56,-0.04,1.68,2351.289487
27,15.78,5,2.55,52.64,1.37,2.04,4971.979256
28,15.73,6.42,3.74,31.9,1.1,2.15,3999.613909
29,12.38,2.18,4.09,31.4,0.72,2.07,2760.485982
30,12.89,2.41,2.9,51.24,0.81,1.97,3825.661812
31,18.48,5.93,2.85,46.89,1.45,2.45,5859.748328
32,14.74,3.1,2.45,36.86,0.92,1.59,3775.981178
33,12.55,3.22,3.43,56.93,0.79,2.27,3907.28923
34,13.58,2.39,2.95,52.16,1.13,2.2,4118.233273
35,11.76,2.94,4.18,61.21,0.43,2.45,3621.261108
36,11.98,3.67,3.17,27.12,0.54,1.69,2718.652945
37,13.56,3.13,3.59,42.96,0.48,1.93,3608.47473
38,16.55,5.7,2.28,63.39,1.33,1.96,5249.625543
39,15.22,3.67,3.52,42.24,1.14,2.26,4239.53187
40,14.54,3.67,2.04,66.27,0.87,1.64,4471.241364
41,14.37,5.93,2.98,47.62,0.97,1.87,4363.202854
42,15.4,3.9,2.86,46.29,1.01,1.99,4495.004769
43,10.14,3.78,4.26,61.89,-0.19,1.97,3098.436639
44,11.09,2.56,3.16,29.62,0.83,1.96,2677.297348
45,18.37,5.93,2.56,44.22,2.07,2.34,5779.876876
46,14.71,4.35,2.39,26.33,0.66,1.15,3210.90138
47,9.29,1.67,2.82,63.86,0.3,1.6,2967.240201
48,11.85,3.46,3.26,24.76,0.08,1.38,2415.825125
49,18.59,5.1,2.91,49.2,1,1.9,5563.040771
50,18.18,4.39,3.27,45.48,1.24,2.25,5337.145786
51,18.72,5.75,2.57,44.74,1.59,1.96,5670.537767
52,20.96,9.21,2.45,33.84,1.53,1.84,5899.353594
53,15.31,3.35,2.76,55.2,0.8,1.97,4601.071319
54,11.98,2.75,4.63,60.31,0.76,2.87,3741.129167
55,18.16,7.1,2.12,41.55,1.97,1.97,5605.978153
56,13.61,3.53,2.75,55.04,0.76,1.74,4079.994302
57,13.67,3.13,2.89,28.69,0.62,1.73,3146.528143
58,15.21,4.1,3.11,32.37,0.78,1.81,3691.832452
59,16.1,3.25,2.16,26.77,1.09,1.29,3542.532883
60,13,4.66,3.1,64.54,0.2,1.71,3969.558019
61,18.32,5.7,3.1,57.18,1.3,2.48,5851.024387
62,14.96,2.16,2.25,34.65,1.07,1.67,3733.769597
63,18.21,5.7,3.34,51.06,1.12,2.28,5620.911404
64,15.07,5.42,3.04,39.39,1.07,2.17,4319.662079
65,17.75,4.66,2.72,59.32,1.67,2.35,5620.445827
66,15.77,7.03,4.1,44.54,0.04,1.97,4431.905847
67,14.19,3.29,2.69,28.7,1.22,1.83,3376.2837
68,13.8,3.29,3.15,46.08,1.28,2.07,3999.97933
69,14.84,3.97,3.43,48.8,1.04,2.11,4336.465709
70,12.54,3.49,3.59,58.03,0.47,2.03,3767.10242
71,10.13,2.39,3.49,63.79,0.16,1.93,3180.611366
72,14.17,3.94,2.92,59.3,0.91,1.91,4320.554389
73,14.85,5,3.63,44.93,0.72,2.05,4220.557084
74,16.62,4.62,2.31,31.41,1.1,1.54,4087.529805
75,17.85,5.81,2.96,59.16,0.48,1.74,5321.469922
76,18.73,7.46,2.88,53.39,1.42,2.14,6053.071368
77,17.2,6.36,2.26,48.84,1.47,1.9,5446.810082
78,10.49,1.62,3.77,52.31,0.46,2.37,3190.699612
79,13.53,4.53,2.31,67.51,0.8,1.67,4276.410007
80,18.04,3.9,2.47,57.53,1.15,2.01,5518.256409
81,14.97,2.75,2.87,54.85,1.17,2.2,4555.146788
82,16.18,4.01,3.04,41.4,1.22,2.01,4489.29306
83,15.07,3.39,3.39,56.7,0.38,1.88,4319.787412
